Name,ID,Species,Forme,Type1,Type2,Ability1,Ability2,AbilityH,HP,Attack,Defense,SpAttack,SpDefense,Speed,Total,Weight,Height,Dex1,Dex2,Class,%Male,%Female,Pre-Evolution,Egg Group 1,Egg Group 2,Type Concat,Ability Concat,,HP,ATK,DEF,SP_ATK,SP_DEF,SPEED,TOTAL
Lombre,271,Lombre,Lombre,Water,Grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,71.6 lbs.,"3'11""",,,Jolly,0.5,0.5,Lotad,Water 1,Grass,Water / Grass,Swift Swim / Rain Dish / Own Tempo*,,30,25,25,30,35,25,170
Ludicolo,272,Ludicolo,Ludicolo,Water,Grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,121.3 lbs.,"4'11""",,,Carefree,0.5,0.5,Lombre,Water 1,Grass,Water / Grass,Swift Swim / Rain Dish / Own Tempo*,,40,35,35,45,50,35,240
Seedot,273,Seedot,Seedot,Grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,8.8 lbs.,"1'08""",,,Acorn,0.5,0.5,,Field,Grass,Grass,Chlorophyll / Early Bird / Pickpocket*,,20,20,25,15,15,15,110
Nuzleaf,274,Nuzleaf,Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,61.7 lbs.,"3'03""",,,Wily,0.5,0.5,Seedot,Field,Grass,Grass / Dark,Chlorophyll / Early Bird / Pickpocket*,,35,35,20,30,20,30,170
Shiftry,275,Shiftry,Shiftry,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,131.4 lbs.,"4'03""",,,Wicked,0.5,0.5,Nuzleaf,Field,Grass,Grass / Dark,Chlorophyll / Early Bird / Pickpocket*,,45,50,30,45,30,40,240
Taillow,276,Taillow,Taillow,Normal,Flying,Guts,,Scrappy,40,55,30,30,30,85,270,5.1 lbs.,"1'00""",,,Tiny Swallow,0.5,0.5,,Flying,,Normal / Flying,Guts / Scrappy*,,20,28,15,15,15,43,135
Swellow,277,Swellow,Swellow,Normal,Flying,Guts,,Scrappy,60,85,60,75,50,125,455,43.7 lbs.,"2'04""",,,Swallow,0.5,0.5,Taillow,Flying,,Normal / Flying,Guts / Scrappy*,,30,43,30,38,25,63,228
Wingull,278,Wingull,Wingull,Water,Flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,20.9 lbs.,"2'00""",Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.,"Fishermen keep an eye out for Wingull in the sky, because wherever theyâ€™re circling, the ocean is sure to be teeming with fish PokÃ©mon.",Seagull,0.5,0.5,,Water 1,Flying,Water / Flying,Keen Eye / Hydration / Rain Dish*,,20,15,15,28,15,43,135
Pelipper,279,Pelipper,Pelipper,Water,Flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,61.7 lbs.,"3'11""",Its spacious beak is large enough for a small child to fit right inside.,Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.,Water Bird,0.5,0.5,Wingull,Water 1,Flying,Water / Flying,Keen Eye / Drizzle / Rain Dish*,,30,25,50,48,35,33,220
Ralts,280,Ralts,Ralts,Psychic,Fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,14.6 lbs.,"1'04""",,,Feeling,0.5,0.5,,Amorphous,,Psychic / Fairy,Synchronize / Trace / Telepathy*,,14,13,13,23,18,20,99
Kirlia,281,Kirlia,Kirlia,Psychic,Fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,44.5 lbs.,"2'07""",,,Emotion,0.5,0.5,Ralts,Amorphous,,Psychic / Fairy,Synchronize / Trace / Telepathy*,,19,18,18,33,28,25,139
Gardevoir,282,Gardevoir,Gardevoir,Psychic,Fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,106.7 lbs.,"5'03""",,,Embrace,0.5,0.5,Kirlia,Amorphous,,Psychic / Fairy,Synchronize / Trace / Telepathy*,,34,33,33,63,58,40,259
Surskit,283,Surskit,Surskit,Bug,Water,Swift Swim,,Rain Dish,40,30,32,50,52,65,269,3.7 lbs.,"1'08""",It moves as if skating on the surface of the water. It often fights with Dewpider over food.,"When this PokÃ©mon senses danger, a sweet fluid oozes from the tip of its head. The taste of it disgusts bird PokÃ©mon.",Pond Skater,0.5,0.5,,Water 1,Bug,Bug / Water,Swift Swim / Rain Dish*,,20,15,16,25,26,33,135
Masquerain,284,Masquerain,Masquerain,Bug,Flying,Intimidate,,Unnerve,70,60,62,100,82,80,454,7.9 lbs.,"2'07""",It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.,"Its wings and antennae donâ€™t cope well with moisture. After a rain, it faces sunward to dry off.",Eyeball,0.5,0.5,Surskit,Water 1,Bug,Bug / Flying,Intimidate / Unnerve*,,35,30,31,50,41,40,227
Shroomish,285,Shroomish,Shroomish,Grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,9.9 lbs.,"1'04""",,,Mushroom,0.5,0.5,,Fairy,Grass,Grass,Effect Spore / Poison Heal / Quick Feet*,,30,20,30,20,30,18,148
Breloom,286,Breloom,Breloom,Grass,Fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,86.4 lbs.,"3'11""",,,Mushroom,0.5,0.5,Shroomish,Fairy,Grass,Grass / Fighting,Effect Spore / Poison Heal / Technician*,,30,65,40,30,30,35,230
Slakoth,287,Slakoth,Slakoth,Normal,,Truant,,,60,60,60,35,35,30,280,52.9 lbs.,"2'07""",,,Slacker,0.5,0.5,,Field,,Normal,Truant,,30,30,30,18,18,15,140
Vigoroth,288,Vigoroth,Vigoroth,Normal,,Vital Spirit,,,80,80,80,55,55,90,440,102.5 lbs.,"4'07""",,,Wild Monkey,0.5,0.5,Slakoth,Field,,Normal,Vital Spirit,,40,40,40,28,28,45,220
Slaking,289,Slaking,Slaking,Normal,,Truant,,,150,160,100,95,65,100,670,287.7 lbs.,"6'07""",,,Lazy,0.5,0.5,Vigoroth,Field,,Normal,Truant,,75,80,50,48,33,50,335
Nincada,290,Nincada,Nincada,Bug,Ground,Compound Eyes,,Run Away,31,45,90,30,30,40,266,12.1 lbs.,"1'08""",,,Trainee,0.5,0.5,,Bug,,Bug / Ground,Compound Eyes / Run Away*,,16,23,45,15,15,20,133
Ninjask,291,Ninjask,Ninjask,Bug,Flying,Speed Boost,,Infiltrator,61,90,45,50,50,160,456,26.5 lbs.,"2'07""",,,Ninja,0.5,0.5,Nincada,Bug,,Bug / Flying,Speed Boost / Infiltrator*,,31,45,23,25,25,80,228
Shedinja,292,Shedinja,Shedinja,Bug,Ghost,Wonder Guard,,Wonder Guard,1,90,45,30,30,40,236,2.6 lbs.,"2'07""",,,Shed,,,Nincada,Mineral,,Bug / Ghost,Wonder Guard,,1,45,23,15,15,20,118
Whismur,293,Whismur,Whismur,Normal,,Soundproof,,Rattled,64,51,23,51,23,28,240,35.9 lbs.,"2'00""",,,Whisper,0.5,0.5,,Monster,Field,Normal,Soundproof / Rattled*,,32,26,12,26,12,14,120
Loudred,294,Loudred,Loudred,Normal,,Soundproof,,Scrappy,84,71,43,71,43,48,360,89.3 lbs.,"3'03""",,,Big Voice,0.5,0.5,Whismur,Monster,Field,Normal,Soundproof / Scrappy*,,42,36,22,36,22,24,180
Exploud,295,Exploud,Exploud,Normal,,Soundproof,,Scrappy,104,91,63,91,73,68,490,185.2 lbs.,"4'11""",,,Loud Noise,0.5,0.5,Loudred,Monster,Field,Normal,Soundproof / Scrappy*,,52,46,32,46,37,34,245
Makuhita,296,Makuhita,Makuhita,Fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,190.5 lbs.,"3'03""","It was originally brought in from another region, but now Makuhita from Alola are more famous.","Their daily routine consists of training together first thing in the morning, eating and napping in the afternoon, and then more training afterward.",Guts,0.5,0.5,,Human-Like,,Fighting,Thick Fat / Guts / Sheer Force*,,36,30,15,10,15,13,119
Hariyama,297,Hariyama,Hariyama,Fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,559.5 lbs.,"7'07""","It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita.",They love to compare their freakish strengthâ€” strength enough to send a truck flying with a single slap.,Arm Thrust,0.5,0.5,Makuhita,Human-Like,,Fighting,Thick Fat / Guts / Sheer Force*,,72,60,30,20,30,25,237
Azurill,298,Azurill,Azurill,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,4.4 lbs.,"0'08""",,,Polka Dot,0.25,0.75,,Undiscovered,,Normal / Fairy,Thick Fat / Huge Power / Sap Sipper*,,25,10,20,10,20,10,95
Nosepass,299,Nosepass,Nosepass,Rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,213.8 lbs.,"3'03""","The magnet in Nosepassâ€™s nose provides an unerring compass, making it an excellent partner for Trainers going on a journey.","It uses powerful magnetism to drag its prey toward it. Itâ€™s also been known to pull in metal, which it collects and uses to protect itself.",Compass,0.5,0.5,,Mineral,,Rock,Sturdy / Magnet Pull / Sand Force*,,15,23,68,23,45,15,188
Skitty,300,Skitty,Skitty,Normal,,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,24.3 lbs.,"2'00""",,,Kitten,0.25,0.75,,Field,Fairy,Normal,Cute Charm / Normalize / Wonder Skin*,,25,23,23,18,18,25,130
Delcatty,301,Delcatty,Delcatty,Normal,,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,71.9 lbs.,"3'07""",,,Prim,0.25,0.75,Skitty,Field,Fairy,Normal,Cute Charm / Normalize / Wonder Skin*,,35,33,33,28,28,45,200
Sableye,302,Sableye,Sableye,Dark,Ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,24.3 lbs.,"1'08""","Itâ€™s a fiend for gemstones, so it stalks Carbink. Unfortunately, Gabite almost always grabs them first.","This PokÃ©mon is feared. When its gemstone eyes begin to glow with a sinister shine, itâ€™s believed that Sableye will steal peopleâ€™s spirits away.",Darkness,0.5,0.5,,Human-Like,,Dark / Ghost,Keen Eye / Stall / Prankster*,,25,38,38,33,33,25,190
Mawile,303,Mawile,Mawile,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,25.4 lbs.,"2'00""",,,Deceiver,0.5,0.5,,Field,Fairy,Steel / Fairy,Hyper Cutter / Intimidate / Sheer Force*,,25,43,43,28,28,25,190
Aron,304,Aron,Aron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,132.3 lbs.,"1'04""",,,Iron Armor,0.5,0.5,,Monster,,Steel / Rock,Sturdy / Rock Head / Heavy Metal*,,25,35,50,20,20,15,165
Lairon,305,Lairon,Lairon,Steel,Rock,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,264.6 lbs.,"2'11""",,,Iron Armor,0.5,0.5,Aron,Monster,,Steel / Rock,Sturdy / Rock Head / Heavy Metal*,,30,45,70,25,25,20,215
Aggron,306,Aggron,Aggron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,793.7 lbs.,"6'11""",,,Iron Armor,0.5,0.5,Lairon,Monster,,Steel / Rock,Sturdy / Rock Head / Heavy Metal*,,35,55,90,30,30,25,265
Meditite,307,Meditite,Meditite,Fighting,Psychic,Pure Power,,Telepathy,30,40,55,40,55,60,280,24.7 lbs.,"2'00""",,,Meditate,0.5,0.5,,Human-Like,,Fighting / Psychic,Pure Power / Telepathy*,,15,20,28,20,28,30,140
Medicham,308,Medicham,Medicham,Fighting,Psychic,Pure Power,,Telepathy,60,60,75,60,75,80,410,69.4 lbs.,"4'03""",,,Meditate,0.5,0.5,Meditite,Human-Like,,Fighting / Psychic,Pure Power / Telepathy*,,30,30,38,30,38,40,205
Electrike,309,Electrike,Electrike,Electric,,Static,Lightning Rod,Minus,40,45,40,65,40,65,295,33.5 lbs.,"2'00""",,,Lightning,0.5,0.5,,Field,,Electric,Static / Lightning Rod / Minus*,,20,23,20,33,20,33,148
Manectric,310,Manectric,Manectric,Electric,,Static,Lightning Rod,Minus,70,75,60,105,60,105,475,88.6 lbs.,"4'11""",,,Discharge,0.5,0.5,Electrike,Field,,Electric,Static / Lightning Rod / Minus*,,35,38,30,53,30,53,238
Plusle,311,Plusle,Plusle,Electric,,Plus,,Lightning Rod,60,50,40,85,75,95,405,9.3 lbs.,"1'04""",,,Cheering,0.5,0.5,,Fairy,,Electric,Plus / Lightning Rod*,,30,25,20,43,38,48,203
Minun,312,Minun,Minun,Electric,,Minus,,Volt Absorb,60,40,50,75,85,95,405,9.3 lbs.,"1'04""",,,Cheering,0.5,0.5,,Fairy,,Electric,Minus / Volt Absorb*,,30,20,25,38,43,48,203
Volbeat,313,Volbeat,Volbeat,Bug,,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,39.0 lbs.,"2'04""",,,Firefly,1,0,,Bug,Human-Like,Bug,Illuminate / Swarm / Prankster*,,33,37,38,24,43,43,215
Illumise,314,Illumise,Illumise,Bug,,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,39.0 lbs.,"2'00""",,,Firefly,0,1,,Bug,Human-Like,Bug,Oblivious / Tinted Lens / Prankster*,,33,24,38,37,43,43,215
Roselia,315,Roselia,Roselia,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,4.4 lbs.,"1'00""",,,Thorn,0.5,0.5,Budew,Fairy,Grass,Grass / Poison,Natural Cure / Poison Point / Leaf Guard*,,25,30,23,50,40,33,200
Gulpin,316,Gulpin,Gulpin,Poison,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,22.7 lbs.,"1'04""",,,Stomach,0.5,0.5,,Amorphous,,Poison,Liquid Ooze / Sticky Hold / Gluttony*,,35,22,27,22,27,20,151
Swalot,317,Swalot,Swalot,Poison,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,176.4 lbs.,"5'07""",,,Poison Bag,0.5,0.5,Gulpin,Amorphous,,Poison,Liquid Ooze / Sticky Hold / Gluttony*,,50,37,42,37,42,28,234
Carvanha,318,Carvanha,Carvanha,Water,Dark,Rough Skin,,Speed Boost,45,90,20,65,20,65,305,45.9 lbs.,"2'07""",Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.,"If they scent the faintest trace of blood, they rush to attack en masse. When alone, theyâ€™re rather cowardly.",Savage,0.5,0.5,,Water 2,,Water / Dark,Rough Skin / Speed Boost*,,23,45,10,33,10,33,153
Sharpedo,319,Sharpedo,Sharpedo,Water,Dark,Rough Skin,,Speed Boost,70,120,40,95,40,95,460,195.8 lbs.,"5'11""",It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea.,"It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this PokÃ©mon became a victim of overfishing.",Brutal,0.5,0.5,Carvanha,Water 2,,Water / Dark,Rough Skin / Speed Boost*,,35,60,20,48,20,48,230
Wailmer,320,Wailmer,Wailmer,Water,,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,286.6 lbs.,"6'07""",It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,Ball Whale,0.5,0.5,,Field,Water 2,Water,Water Veil / Oblivious / Pressure*,,65,35,18,35,18,30,200
Wailord,321,Wailord,Wailord,Water,,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,877.4 lbs.,"47'07""","Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole.",Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.,Float Whale,0.5,0.5,Wailmer,Field,Water 2,Water,Water Veil / Oblivious / Pressure*,,85,45,23,45,23,30,250
Numel,322,Numel,Numel,Fire,Ground,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,52.9 lbs.,"2'04""",,,Numb,0.5,0.5,,Field,,Fire / Ground,Oblivious / Simple / Own Tempo*,,30,30,20,33,23,18,153
Camerupt,323,Camerupt,Camerupt,Fire,Ground,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,485.0 lbs.,"6'03""",,,Eruption,0.5,0.5,Numel,Field,,Fire / Ground,Magma Armor / Solid Rock / Anger Point*,,35,50,35,53,38,20,230
Torkoal,324,Torkoal,Torkoal,Fire,,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,177.2 lbs.,"1'08""",Coal is the source of Torkoalâ€™s energy. Large amounts of coal can be found in the mountains where they live.,"If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand.",Coal,0.5,0.5,,Field,,Fire,White Smoke / Drought / Shell Armor*,,35,43,70,43,35,10,235
Spoink,325,Spoink,Spoink,Psychic,,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,67.5 lbs.,"2'04""",,,Bounce,0.5,0.5,,Field,,Psychic,Thick Fat / Own Tempo / Gluttony*,,30,13,18,35,40,30,165
Grumpig,326,Grumpig,Grumpig,Psychic,,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,157.6 lbs.,"2'11""",,,Manipulate,0.5,0.5,Spoink,Field,,Psychic,Thick Fat / Own Tempo / Gluttony*,,40,23,33,45,55,40,235
Spinda,327,Spinda,Spinda,Normal,,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,11.0 lbs.,"3'07""","Its steps are staggering and unsteady, but Spinda thinks itâ€™s walking in a straight line.",Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.,Spot Panda,0.5,0.5,,Field,Human-Like,Normal,Own Tempo / Tangled Feet / Contrary*,,30,30,30,30,30,30,180
Trapinch,328,Trapinch,Trapinch,Ground,,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,33.1 lbs.,"2'04""",It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.,"As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest.",Ant Pit,0.5,0.5,,Bug,,Ground,Hyper Cutter / Arena Trap / Sheer Force*,,23,50,23,23,23,5,145
Vibrava,329,Vibrava,Vibrava,Ground,Dragon,Levitate,,,50,70,50,50,50,70,340,33.7 lbs.,"3'07""","Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies.","To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day.",Vibration,0.5,0.5,Trapinch,Bug,,Ground / Dragon,Levitate,,25,35,25,25,25,35,170
Flygon,330,Flygon,Flygon,Ground,Dragon,Levitate,,,80,100,80,80,80,100,520,180.8 lbs.,"6'07""","The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygonâ€™s prey.",This PokÃ©mon hides in the heart of sandstorms it creates and seldom appears where people can see it.,Mystic,0.5,0.5,Vibrava,Bug,,Ground / Dragon,Levitate,,40,50,40,40,40,50,260
Cacnea,331,Cacnea,Cacnea,Grass,,Sand Veil,,Water Absorb,50,85,40,85,40,35,335,113.1 lbs.,"1'04""",,,Cactus,0.5,0.5,,Grass,Human-Like,Grass,Sand Veil / Water Absorb*,,25,43,20,43,20,18,168
Cacturne,332,Cacturne,Cacturne,Grass,Dark,Sand Veil,,Water Absorb,70,115,60,115,60,55,475,170.6 lbs.,"4'03""",,,Scarecrow,0.5,0.5,Cacnea,Grass,Human-Like,Grass / Dark,Sand Veil / Water Absorb*,,35,58,30,58,30,28,238
Swablu,333,Swablu,Swablu,Normal,Flying,Natural Cure,,Cloud Nine,45,40,60,40,75,50,310,2.6 lbs.,"1'04""",,,Cotton Bird,0.5,0.5,,Flying,Dragon,Normal / Flying,Natural Cure / Cloud Nine*,,23,20,30,20,38,25,155
Altaria,334,Altaria,Altaria,Dragon,Flying,Natural Cure,,Cloud Nine,75,70,90,70,105,80,490,45.4 lbs.,"3'07""",,,Humming,0.5,0.5,Swablu,Flying,Dragon,Dragon / Flying,Natural Cure / Cloud Nine*,,38,35,45,35,53,40,245
Zangoose,335,Zangoose,Zangoose,Normal,,Immunity,,Toxic Boost,73,115,60,60,60,90,458,88.8 lbs.,"4'03""",,,Cat Ferret,0.5,0.5,,Field,,Normal,Immunity / Toxic Boost*,,37,58,30,30,30,45,229
Seviper,336,Seviper,Seviper,Poison,,Shed Skin,,Infiltrator,73,100,60,100,60,65,458,115.7 lbs.,"8'10""",,,Fang Snake,0.5,0.5,,Field,Dragon,Poison,Shed Skin / Infiltrator*,,37,50,30,50,30,33,229
Lunatone,337,Lunatone,Lunatone,Rock,Psychic,Levitate,,,90,55,65,95,85,70,460,370.4 lbs.,"3'03""",,,Meteorite,,,,Mineral,,Rock / Psychic,Levitate,,45,28,33,48,43,35,230
Solrock,338,Solrock,Solrock,Rock,Psychic,Levitate,,,90,95,85,55,65,70,460,339.5 lbs.,"3'11""",,,Meteorite,,,,Mineral,,Rock / Psychic,Levitate,,45,48,43,28,33,35,230
Barboach,339,Barboach,Barboach,Water,Ground,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,4.2 lbs.,"1'04""","Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its preyâ€™s location.","Its slippery body is hard to grasp, so much so that there are festivals where people compete to see how many they can catch barehanded.",Whiskers,0.5,0.5,,Water 2,,Water / Ground,Oblivious / Anticipation / Hydration*,,25,24,22,23,21,30,144
Whiscash,340,Whiscash,Whiscash,Water,Ground,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,52.0 lbs.,"2'11""","A glutton that devours anything that moves, it quietly lurks at the bottom of swamps, lying in wait for prey.",Sighting Whiscash leaping from the water is believed to herald an earthquake.,Whiskers,0.5,0.5,Barboach,Water 2,,Water / Ground,Oblivious / Anticipation / Hydration*,,55,39,37,38,36,30,234
Corphish,341,Corphish,Corphish,Water,,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308,25.4 lbs.,"2'00""",,,Ruffian,0.5,0.5,,Water 1,Water 3,Water,Hyper Cutter / Shell Armor / Adaptability*,,22,40,33,25,18,18,154
Crawdaunt,342,Crawdaunt,Crawdaunt,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468,72.3 lbs.,"3'07""",,,Rogue,0.5,0.5,Corphish,Water 1,Water 3,Water / Dark,Hyper Cutter / Shell Armor / Adaptability*,,32,60,43,45,28,28,234
Baltoy,343,Baltoy,Baltoy,Ground,Psychic,Levitate,,,40,40,55,40,70,55,300,47.4 lbs.,"1'08""",,,Clay Doll,,,,Mineral,,Ground / Psychic,Levitate,,20,20,28,20,35,28,150
Claydol,344,Claydol,Claydol,Ground,Psychic,Levitate,,,60,70,105,70,120,75,500,238.1 lbs.,"4'11""",,,Clay Doll,,,Baltoy,Mineral,,Ground / Psychic,Levitate,,30,35,53,35,60,38,250
Lileep,345,Lileep,Lileep,Rock,Grass,Suction Cups,,Storm Drain,66,41,77,61,87,23,355,52.5 lbs.,"3'03""",,,Sea Lily,0.875,0.125,,Water 3,,Rock / Grass,Suction Cups / Storm Drain*,,33,21,39,31,44,12,178
Cradily,346,Cradily,Cradily,Rock,Grass,Suction Cups,,Storm Drain,86,81,97,81,107,43,495,133.2 lbs.,"4'11""",,,Barnacle,0.875,0.125,Lileep,Water 3,,Rock / Grass,Suction Cups / Storm Drain*,,43,41,49,41,54,22,248
Anorith,347,Anorith,Anorith,Rock,Bug,Battle Armor,,Swift Swim,45,95,50,40,50,75,355,27.6 lbs.,"2'04""",,,Old Shrimp,0.875,0.125,,Water 3,,Rock / Bug,Battle Armor / Swift Swim*,,23,48,25,20,25,38,178
Armaldo,348,Armaldo,Armaldo,Rock,Bug,Battle Armor,,Swift Swim,75,125,100,70,80,45,495,150.4 lbs.,"4'11""",,,Plate,0.875,0.125,Anorith,Water 3,,Rock / Bug,Battle Armor / Swift Swim*,,38,63,50,35,40,23,248
Feebas,349,Feebas,Feebas,Water,,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,16.3 lbs.,"2'00""","A tough PokÃ©mon that is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isnâ€™t popular.","Although unattractive and unpopular, this PokÃ©monâ€™s marvelous vitality has made it a subject of research.",Fish,0.5,0.5,,Water 1,Dragon,Water,Swift Swim / Oblivious / Adaptability*,,10,8,10,5,28,40,100
Milotic,350,Milotic,Milotic,Water,,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,357.1 lbs.,"20'04""",Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful PokÃ©mon of all.,"It lives at the bottom of clear lakes. In times of war, it shows itself, which soothes peopleâ€™s minds and hearts.",Tender,0.5,0.5,Feebas,Water 1,Dragon,Water,Marvel Scale / Competitive / Cute Charm*,,48,30,40,50,63,41,270
Castform,351,Castform,Castform-Normal,Normal,,Forecast,,,70,70,70,70,70,70,420,1.8 lbs.,"1'00""",It changes its depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.,"Its changes on its own, due to its cellsâ€™ sensitive reactions to temperature and humidity.",Weather,0.5,0.5,,Fairy,Amorphous,Normal,Forecast,,35,35,35,35,35,35,210
Kecleon,352,Kecleon,Kecleon,Normal,,Color Change,,Protean,60,90,70,60,120,40,440,48.5 lbs.,"3'03""",,,Color Swap,0.5,0.5,,Field,,Normal,Color Change / Protean*,,30,45,35,30,60,20,220
Shuppet,353,Shuppet,Shuppet,Ghost,,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295,5.1 lbs.,"2'00""",,,Puppet,0.5,0.5,,Amorphous,,Ghost,Insomnia / Frisk / Cursed Body*,,22,38,18,32,17,23,148
Banette,354,Banette,Banette,Ghost,,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455,27.6 lbs.,"3'07""",,,Marionette,0.5,0.5,Shuppet,Amorphous,,Ghost,Insomnia / Frisk / Cursed Body*,,32,58,33,42,32,33,228
Duskull,355,Duskull,Duskull,Ghost,,Levitate,,Frisk,20,40,90,30,90,25,295,33.1 lbs.,"2'07""",,,Requiem,0.5,0.5,,Amorphous,,Ghost,Levitate / Frisk*,,10,20,45,15,45,13,148
Dusclops,356,Dusclops,Dusclops,Ghost,,Pressure,,Frisk,40,70,130,60,130,25,455,67.5 lbs.,"5'03""",,,Beckon,0.5,0.5,Duskull,Amorphous,,Ghost,Pressure / Frisk*,,20,35,65,30,65,13,228
Tropius,357,Tropius,Tropius,Grass,Flying,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460,220.5 lbs.,"6'07""",,,Fruit,0.5,0.5,,Monster,Grass,Grass / Flying,Chlorophyll / Solar Power / Harvest*,,50,34,42,36,44,26,230
Chimecho,358,Chimecho,Chimecho,Psychic,,Levitate,,,75,50,80,95,90,65,455,2.2 lbs.,"2'00""",,,Wind Chime,0.5,0.5,Chingling,Amorphous,,Psychic,Levitate,,38,25,40,48,45,33,228
Absol,359,Absol,Absol,Dark,,Pressure,Super Luck,Justified,65,130,60,75,60,75,465,103.6 lbs.,"3'11""","Long ago, superstitions were spread about it, saying it brought disaster. This fed a hatred of it, and it was driven deep into the mountains.","Although itâ€™s said to bring disaster, in actuality, this PokÃ©mon possesses a calm disposition and warns people of any crises that loom.",Disaster,0.5,0.5,,Field,,Dark,Pressure / Super Luck / Justified*,,33,65,30,38,30,38,233
Wynaut,360,Wynaut,Wynaut,Psychic,,Shadow Tag,,Telepathy,95,23,48,23,48,23,260,30.9 lbs.,"2'00""",,,Bright,0.5,0.5,,Undiscovered,,Psychic,Shadow Tag / Telepathy*,,48,12,24,12,24,12,130
